"CubeId";"zimoma"
"PublishingDate";"2023-10-02 14:30"

"Date";"D0";"Value"
"1978-04";"SARON";
"1978-04";"1TGT";"0"
"1978-04";"EG3M";
"1978-05";"SARON";
"1978-05";"1TGT";"0"
"1978-05";"EG3M";
"1978-06";"SARON";
"1978-06";"1TGT";"0.25"
"1978-06";"EG3M";
"1978-07";"SARON";
"1978-07";"1TGT";"0.25"
"1978-07";"EG3M";
"1978-08";"SARON";
"1978-08";"1TGT";"0"
"1978-08";"EG3M";
"1978-09";"SARON";
"1978-09";"1TGT";"-1.25"
"1978-09";"EG3M";
"1978-10";"SARON";
"1978-10";"1TGT";"-0.375"
"1978-10";"EG3M";
"1978-11";"SARON";
"1978-11";"1TGT";"-0.5"
"1978-11";"EG3M";
"1978-12";"SARON";
"1978-12";"1TGT";"-0.375"
"1978-12";"EG3M";
"1979-01";"SARON";
"1979-01";"1TGT";"-0.0625"
"1979-01";"EG3M";
"1979-02";"SARON";
"1979-02";"1TGT";"-0.25"
"1979-02";"EG3M";
"1979-03";"SARON";
"1979-03";"1TGT";"-0.125"
"1979-03";"EG3M";
"1979-04";"SARON";
"1979-04";"1TGT";"0.25"
"1979-04";"EG3M";
"1979-05";"SARON";
"1979-05";"1TGT";"1.25"
"1979-05";"EG3M";
"1979-06";"SARON";
"1979-06";"1TGT";"0"
"1979-06";"EG3M";
"1979-07";"SARON";
"1979-07";"1TGT";"0.25"
"1979-07";"EG3M";
"1979-08";"SARON";
"1979-08";"1TGT";"0"
"1979-08";"EG3M";
"1979-09";"SARON";
"1979-09";"1TGT";"0"
"1979-09";"EG3M";
"1979-10";"SARON";
"1979-10";"1TGT";"0.3125"
"1979-10";"EG3M";
"1979-11";"SARON";
"1979-11";"1TGT";"0"
"1979-11";"EG3M";
"1979-12";"SARON";
"1979-12";"1TGT";"0.125"
"1979-12";"EG3M";
"1980-01";"SARON";
"1980-01";"1TGT";"0"
"1980-01";"EG3M";
"1980-02";"SARON";
"1980-02";"1TGT";"2.25"
"1980-02";"EG3M";
"1980-03";"SARON";
"1980-03";"1TGT";"0"
"1980-03";"EG3M";
"1980-04";"SARON";
"1980-04";"1TGT";"3.25"
"1980-04";"EG3M";
"1980-05";"SARON";
