"Date","Price","Open","High","Low","Change %"
"02/17/2013","0.080","0.080","0.080","0.080","0.00%"
"02/16/2013","0.080","0.080","0.080","0.080","-46.67%"
"02/15/2013","0.150","0.150","0.150","0.150","7.14%"
"02/14/2013","0.140","0.140","0.140","0.140","7.69%"
"02/13/2013","0.130","0.130","0.130","0.130","8.33%"
"02/12/2013","0.120","0.120","0.120","0.120","-14.29%"
"02/11/2013","0.140","0.140","0.140","0.140","75.00%"
"02/10/2013","0.080","0.080","0.080","0.080","-38.46%"
"02/09/2013","0.130","0.130","0.130","0.130","-18.75%"
"02/08/2013","0.160","0.160","0.160","0.160","23.08%"
"02/07/2013","0.130","0.130","0.130","0.130","0.00%"
"02/06/2013","0.130","0.130","0.130","0.130","30.00%"
"02/05/2013","0.100","0.100","0.100","0.100","0.00%"
"02/04/2013","0.100","0.100","0.100","0.100","25.00%"
"02/02/2013","0.080","0.080","0.080","0.080","0.00%"
"02/01/2013","0.080","0.080","0.080","0.080","-20.00%"
"01/30/2013","0.100","0.100","0.100","0.100","100.00%"
"01/29/2013","0.050","0.050","0.050","0.050","-75.00%"
"01/28/2013","0.200","0.200","0.200","0.200","53.85%"
"01/26/2013","0.130","0.050","0.130","0.050","0.00%"
"01/25/2013","0.130","0.130","0.130","0.130","160.00%"
"01/24/2013","0.050","0.050","0.050","0.050","0.00%"
"01/23/2013","0.050","0.050","0.050","0.050","-37.50%"
"01/22/2013","0.080","0.080","0.080","0.080","0.00%"
"01/21/2013","0.080","0.080","0.080","0.080","0.00%"
"01/18/2013","0.080","0.080","0.080","0.080","0.00%"
"01/17/2013","0.080","0.080","0.080","0.080","-38.46%"
"01/16/2013","0.130","0.130","0.130","0.130","62.50%"
"01/15/2013","0.080","0.080","0.080","0.080","0.00%"
"01/14/2013","0.080","0.080","0.080","0.080","0.00%"
"01/13/2013","0.080","0.050","0.080","0.050","60.00%"
"01/12/2013","0.050","0.050","0.050","0.050","0.00%"
"01/11/2013","0.050","0.050","0.050","0.050","0.00%"
"01/10/2013","0.050","0.050","0.050","0.050","0.00%"
"01/09/2013","0.050","0.050","0.050","0.050","0.00%"
"01/08/2013","0.050","0.050","0.050","0.050","-50.00%"
"01/07/2013","0.100","0.100","0.100","0.100","-9.09%"
"01/06/2013","0.110","0.110","0.110","0.040","0.00%"
"01/05/2013","0.110","0.110","0.110","0.110","0.00%"
"01/04/2013","0.110","0.110","0.110","0.110","120.00%"
"01/03/2013","0.050","0.050","0.050","0.050","0.00%"
"12/30/2012","0.050","0.040","0.050","0.040","25.00%"
"12/29/2012","0.040","0.050","0.050","0.040","-20.00%"
"12/28/2012","0.050","0.050","0.050","0.050","0.00%"
"12/27/2012","0.050","0.050","0.050","0.050","25.00%"
"12/23/2012","0.040","0.050","0.050","0.040","-20.00%"
"12/22/2012","0.050","0.040","0.050","0.040","0.00%"
"12/21/2012","0.050","0.050","0.050","0.050","0.00%"
"12/20/2012","0.050","0.050","0.050","0.050","0.00%"
"12/19/2012","0.050","0.050","0.050","0.050","150.00%"
"12/18/2012","0.020","0.020","0.020","0.020","-60.00%"
"12/17/2012","0.050","0.050","0.050","0.050","-50.00%"
"12/16/2012","0.100","0.050","0.100","0.050","100.00%"
"12/15/2012","0.050","0.050","0.050","0.050","0.00%"
"12/14/2012","0.050","0.050","0.050","0.050","0.00%"
"12/12/2012","0.050","0.050","0.050","0.050","0.00%"
"12/11/2012","0.050","0.050","0.050","0.050","-16.67%"
"12/10/2012","0.060","0.060","0.060","0.060","0.00%"
"12/09/2012","0.060","0.060","0.060","0.060","-400.00%"
"12/08/2012","-0.020","0.060","0.060","-0.020","-125.00%"
"12/07/2012","0.080","0.080","0.080","0.080","-11.11%"
"12/06/2012","0.090","0.090","0.090","0.090","50.00%"
"12/05/2012","0.060","0.060","0.060","0.060","-45.45%"
"12/04/2012","0.110","0.110","0.110","0.110","22.22%"
"12/03/2012","0.090","0.090","0.090","0.090","0.00%"
"12/02/2012","0.090","0.090","0.150","0.090","-40.00%"
"12/01/2012","0.150","0.150","0.150","0.150","0.00%"
"11/30/2012","0.150","0.150","0.150","0.150","15.38%"
"11/29/2012","0.130","0.130","0.130","0.130","160.00%"
"11/28/2012","0.050","0.050","0.050","0.050","-75.00%"
"11/27/2012","0.200","0.200","0.200","0.200","0.00%"
"11/26/2012","0.200","0.200","0.200","0.200","17.65%"
"11/25/2012","0.170","0.170","0.170","0.170","0.00%"
"11/24/2012","0.170","0.170","0.170","0.170","240.00%"
"11/23/2012","0.050","0.050","0.050","0.050","0.00%"
"11/22/2012","0.050","0.050","0.050","0.050","-70.59%"
"11/21/2012","0.170","0.170","0.170","0.170","240.00%"
"11/20/2012","0.050","0.050","0.050","0.050","-75.00%"
"11/19/2012","0.200","0.200","0.200","0.200","-13.04%"
"11/18/2012","0.230","0.200","0.230","0.200","0.00%"
"11/17/2012","0.230","0.230","0.230","0.230","15.00%"
"11/16/2012","0.200","0.200","0.200","0.200","-13.04%"
"11/15/2012","0.230","0.230","0.230","0.230","360.00%"
"11/14/2012","0.050","0.050","0.050","0.050","-75.00%"
"11/13/2012","0.200","0.200","0.200","0.200","0.00%"
"11/12/2012","0.200","0.200","0.200","0.200","-13.04%"
"11/11/2012","0.230","0.150","0.230","0.150","0.00%"
"11/10/2012","0.230","0.230","0.230","0.230","15.00%"
"11/09/2012","0.200","0.200","0.200","0.200","0.00%"
"11/08/2012","0.200","0.200","0.200","0.200","-13.04%"
"11/07/2012","0.230","0.230","0.230","0.230","15.00%"
"11/06/2012","0.200","0.200","0.200","0.200","0.00%"
"11/05/2012","0.200","0.200","0.200","0.200","-13.04%"
"11/04/2012","0.230","0.230","0.230","0.230","0.00%"
"11/03/2012","0.230","0.230","0.230","0.170","0.00%"
"11/02/2012","0.230","0.230","0.230","0.230","0.00%"
"11/01/2012","0.230","0.230","0.230","0.230","-8.00%"
"10/31/2012","0.250","0.250","0.250","0.250","8.70%"
"10/30/2012","0.230","0.230","0.230","0.230","64.29%"
"10/29/2012","0.140","0.140","0.140","0.140","-39.13%"
"10/28/2012","0.230","0.230","0.230","0.230","0.00%"
"10/27/2012","0.230","0.230","0.230","0.140","360.00%"
"10/26/2012","0.050","0.050","0.050","0.050","-75.00%"
"10/25/2012","0.200","0.200","0.200","0.200","-13.04%"
"10/24/2012","0.230","0.230","0.230","0.230","0.00%"
"10/23/2012","0.230","0.230","0.230","0.230","15.00%"
"10/22/2012","0.200","0.200","0.200","0.200","-13.04%"
"10/21/2012","0.230","0.220","0.230","0.220","0.00%"
"10/20/2012","0.230","0.230","0.230","0.230","0.00%"
"10/19/2012","0.230","0.230","0.230","0.230","-42.50%"
"10/18/2012","0.400","0.400","0.400","0.400","81.82%"
"10/17/2012","0.220","0.220","0.220","0.220","-12.00%"
"10/16/2012","0.250","0.250","0.250","0.250","19.05%"
"10/15/2012","0.210","0.210","0.210","0.210","-8.70%"
"10/14/2012","0.230","0.200","0.230","0.200","0.00%"
"10/13/2012","0.230","0.230","0.230","0.230","-8.00%"
"10/12/2012","0.250","0.250","0.250","0.250","0.00%"
"10/11/2012","0.250","0.250","0.250","0.250","0.00%"
"10/10/2012","0.250","0.250","0.250","0.250","-35.90%"
"10/09/2012","0.390","0.390","0.390","0.390","-2.50%"
"10/08/2012","0.400","0.400","0.400","0.400","73.91%"
"10/07/2012","0.230","0.200","0.230","0.200","0.00%"
"10/06/2012","0.230","0.230","0.230","0.230","-28.12%"
"10/05/2012","0.320","0.320","0.320","0.320","39.13%"
"10/04/2012","0.230","0.230","0.230","0.230","-34.29%"
"10/03/2012","0.350","0.350","0.350","0.350","40.00%"
"10/02/2012","0.250","0.250","0.250","0.250","8.70%"
"10/01/2012","0.230","0.230","0.230","0.230","0.00%"
"09/30/2012","0.230","0.300","0.300","0.230","0.00%"
"09/29/2012","0.230","0.230","0.230","0.230","-8.00%"
"09/28/2012","0.250","0.250","0.250","0.250","-7.41%"
"09/27/2012","0.270","0.270","0.270","0.270","-3.57%"
"09/26/2012","0.280","0.280","0.280","0.280","-6.67%"
"09/25/2012","0.300","0.300","0.300","0.300","11.11%"
"09/24/2012","0.270","0.270","0.270","0.270","17.39%"
"09/23/2012","0.230","0.320","0.320","0.230","0.00%"
"09/22/2012","0.230","0.230","0.230","0.230","-28.12%"
"09/21/2012","0.320","0.320","0.320","0.320","14.29%"
"09/20/2012","0.280","0.280","0.280","0.280","-6.67%"
"09/19/2012","0.300","0.300","0.300","0.300","30.43%"
"09/18/2012","0.230","0.230","0.230","0.230","-32.35%"
"09/17/2012","0.340","0.340","0.340","0.340","47.83%"
"09/16/2012","0.230","0.330","0.330","0.230","0.00%"
"09/15/2012","0.230","0.230","0.230","0.230","-20.69%"
"09/14/2012","0.290","0.290","0.290","0.290","16.00%"
"09/13/2012","0.250","0.250","0.250","0.250","0.00%"
"09/12/2012","0.250","0.250","0.250","0.250","-24.24%"
"09/11/2012","0.330","0.330","0.330","0.330","43.48%"
"09/10/2012","0.230","0.230","0.230","0.230","0.00%"
"09/09/2012","0.230","0.230","0.240","0.230","0.00%"
"09/08/2012","0.230","0.230","0.230","0.230","0.00%"
"09/07/2012","0.230","0.230","0.230","0.230","0.00%"
"09/06/2012","0.230","0.230","0.230","0.230","0.00%"
"09/05/2012","0.230","0.230","0.230","0.230","0.00%"
"09/04/2012","0.230","0.230","0.230","0.230","4.55%"
"09/03/2012","0.220","0.220","0.220","0.220","-4.35%"
"09/02/2012","0.230","0.220","0.230","0.220","0.00%"
"09/01/2012","0.230","0.220","0.230","0.220","4.55%"
"08/31/2012","0.220","0.220","0.220","0.220","0.00%"
"08/30/2012","0.220","0.220","0.220","0.220","-12.00%"
"08/29/2012","0.250","0.250","0.250","0.250","0.00%"
"08/28/2012","0.250","0.250","0.250","0.250","0.00%"
"08/27/2012","0.250","0.250","0.250","0.250","0.00%"
"08/26/2012","0.250","0.250","0.250","0.250","0.00%"
"08/25/2012","0.250","0.250","0.250","0.250","0.00%"
"08/23/2012","0.250","0.250","0.250","0.250","-16.67%"
"08/21/2012","0.300","0.300","0.300","0.300","0.00%"
"08/20/2012","0.300","0.300","0.300","0.300","0.00%"
"08/19/2012","0.300","0.300","0.300","0.300","0.00%"
"08/18/2012","0.300","0.300","0.300","0.300","30.43%"
"08/17/2012","0.230","0.230","0.230","0.230","0.00%"
"08/16/2012","0.230","0.230","0.230","0.230","0.00%"
"08/15/2012","0.230","0.230","0.230","0.230","-8.00%"
"08/14/2012","0.250","0.250","0.250","0.250","-16.67%"
"08/13/2012","0.300","0.300","0.300","0.300","30.43%"
"08/12/2012","0.230","0.300","0.300","0.230","0.00%"
"08/11/2012","0.230","0.230","0.230","0.230","0.00%"
"08/10/2012","0.230","0.230","0.230","0.230","-8.00%"
"08/09/2012","0.250","0.250","0.250","0.250","8.70%"
"08/08/2012","0.230","0.230","0.230","0.230","0.00%"
"08/07/2012","0.230","0.230","0.230","0.230","0.00%"
"08/06/2012","0.230","0.230","0.230","0.230","-4.17%"
"08/05/2012","0.240","0.240","0.240","0.240","0.00%"
"08/04/2012","0.240","0.240","0.240","0.200","0.00%"
"08/03/2012","0.240","0.240","0.240","0.240","20.00%"
"08/02/2012","0.200","0.200","0.200","0.200","0.00%"
"07/31/2012","0.200","0.200","0.200","0.200","-13.04%"
"07/30/2012","0.230","0.230","0.230","0.230","-8.00%"
"07/29/2012","0.250","0.250","0.250","0.250","0.00%"
"07/28/2012","0.250","0.250","0.300","0.250","0.00%"
"07/27/2012","0.250","0.250","0.250","0.250","0.00%"
"07/26/2012","0.250","0.250","0.250","0.250","8.70%"
"07/25/2012","0.230","0.230","0.230","0.230","-8.00%"
"07/24/2012","0.250","0.250","0.250","0.250","0.00%"
"07/23/2012","0.250","0.250","0.250","0.250","0.00%"
"07/22/2012","0.250","0.310","0.310","0.240","0.00%"
"07/21/2012","0.250","0.250","0.250","0.250","0.00%"
"07/20/2012","0.250","0.250","0.250","0.250","0.00%"
"07/19/2012","0.250","0.250","0.250","0.250","-7.41%"
"07/18/2012","0.270","0.270","0.270","0.270","8.00%"
"07/17/2012","0.250","0.250","0.250","0.250","0.00%"
"07/16/2012","0.250","0.250","0.250","0.250","0.00%"
"07/15/2012","0.250","0.380","0.380","0.250","0.00%"
"07/14/2012","0.250","0.250","0.250","0.250","0.00%"
"07/13/2012","0.250","0.250","0.250","0.250","0.00%"
"07/12/2012","0.250","0.250","0.250","0.250","-10.71%"
"07/11/2012","0.280","0.280","0.280","0.280","12.00%"
"07/10/2012","0.250","0.250","0.250","0.250","-10.71%"
"07/09/2012","0.280","0.280","0.280","0.280","12.00%"
"07/08/2012","0.250","0.380","0.380","0.250","0.00%"
"07/07/2012","0.250","0.250","0.250","0.250","-19.35%"
"07/06/2012","0.310","0.310","0.310","0.310","-6.06%"
"07/05/2012","0.330","0.330","0.330","0.330","83.33%"
"07/04/2012","0.180","0.180","0.180","0.180","-10.00%"
"07/03/2012","0.200","0.200","0.200","0.200","-20.00%"
"07/02/2012","0.250","0.250","0.250","0.250","0.00%"
"07/01/2012","0.250","0.380","0.380","0.250","0.00%"
"06/30/2012","0.250","0.250","0.250","0.250","0.00%"
"06/29/2012","0.250","0.250","0.250","0.250","-34.21%"
"06/28/2012","0.380","0.380","0.380","0.380","216.67%"
"06/27/2012","0.120","0.120","0.120","0.120","-52.00%"
"06/26/2012","0.250","0.250","0.250","0.250","-34.21%"
"06/25/2012","0.380","0.380","0.380","0.380","52.00%"
"06/24/2012","0.250","0.250","0.380","0.250","0.00%"
"06/23/2012","0.250","0.250","0.250","0.250","47.06%"
"06/22/2012","0.170","0.170","0.170","0.170","-62.22%"
"06/21/2012","0.450","0.450","0.450","0.450","25.00%"
"06/20/2012","0.360","0.360","0.360","0.360","176.92%"
"06/19/2012","0.130","0.130","0.130","0.130","-48.00%"
"06/18/2012","0.250","0.250","0.250","0.250","4.17%"
"06/17/2012","0.240","0.250","0.330","0.240","-4.00%"
"06/16/2012","0.250","0.250","0.250","0.250","0.00%"
"06/15/2012","0.250","0.250","0.250","0.250","92.31%"
"06/14/2012","0.130","0.130","0.130","0.130","-61.76%"
"06/13/2012","0.340","0.340","0.340","0.340","3.03%"
"06/12/2012","0.330","0.330","0.330","0.330","32.00%"
"06/11/2012","0.250","0.250","0.250","0.250","0.00%"
"06/10/2012","0.250","0.250","0.380","0.250","25.00%"
"06/09/2012","0.200","0.250","0.250","0.200","-20.00%"
"06/08/2012","0.250","0.250","0.250","0.250","0.00%"
"06/07/2012","0.250","0.250","0.250","0.250","-64.29%"
"06/06/2012","0.700","0.700","0.700","0.700","233.33%"
"06/05/2012","0.210","0.210","0.210","0.210","-44.74%"
"06/04/2012","0.380","0.380","0.380","0.380","52.00%"
"06/03/2012","0.250","0.250","0.390","0.250","25.00%"
"06/02/2012","0.200","0.250","0.250","0.200","-20.00%"
"06/01/2012","0.250","0.250","0.250","0.250","25.00%"
"05/31/2012","0.200","0.200","0.200","0.200","-48.72%"
"05/30/2012","0.390","0.390","0.390","0.390","25.81%"
"05/29/2012","0.310","0.310","0.310","0.310","29.17%"
"05/27/2012","0.240","0.250","0.390","0.240","-4.00%"
"05/26/2012","0.250","0.250","0.250","0.250","-16.67%"
"05/25/2012","0.300","0.300","0.300","0.300","-14.29%"
"05/24/2012","0.350","0.350","0.350","0.350","-12.50%"
"05/23/2012","0.400","0.400","0.400","0.400","60.00%"
"05/22/2012","0.250","0.250","0.250","0.250","0.00%"
"05/21/2012","0.250","0.250","0.250","0.250","0.00%"
"05/20/2012","0.250","0.250","0.250","0.250","0.00%"
"05/19/2012","0.250","0.250","0.250","0.250","0.00%"
"05/18/2012","0.250","0.250","0.250","0.250","0.00%"
"05/16/2012","0.250","0.250","0.250","0.250","0.00%"
"05/15/2012","0.250","0.250","0.250","0.250","0.00%"
"05/14/2012","0.250","0.250","0.250","0.250","0.00%"
"05/13/2012","0.250","0.250","0.250","0.250","0.00%"
"05/12/2012","0.250","0.250","0.250","0.250","0.00%"
"05/11/2012","0.250","0.250","0.250","0.250","0.00%"
"05/10/2012","0.250","0.250","0.250","0.250","0.00%"
"05/09/2012","0.250","0.250","0.250","0.250","-13.79%"
"05/08/2012","0.290","0.290","0.290","0.290","16.00%"
"05/07/2012","0.250","0.250","0.250","0.250","4.17%"
"05/06/2012","0.240","0.250","0.250","0.240","-4.00%"
"05/05/2012","0.250","0.250","0.250","0.250","25.00%"
"05/04/2012","0.200","0.200","0.200","0.200","-20.00%"
"05/03/2012","0.250","0.250","0.250","0.250","0.00%"
"05/02/2012","0.250","0.250","0.250","0.250","66.67%"
"04/30/2012","0.150","0.150","0.150","0.150","-37.50%"
"04/29/2012","0.240","0.250","0.250","0.240","-4.00%"
"04/28/2012","0.250","0.250","0.250","0.250","0.00%"
"04/27/2012","0.250","0.250","0.250","0.250","0.00%"
"04/26/2012","0.250","0.250","0.250","0.250","0.00%"
"04/25/2012","0.250","0.250","0.250","0.250","0.00%"
"04/24/2012","0.250","0.250","0.250","0.250","-45.65%"
"04/23/2012","0.460","0.460","0.460","0.460","84.00%"
"04/22/2012","0.250","0.250","0.250","0.250","0.00%"
"04/21/2012","0.250","0.250","0.250","0.250","0.00%"
"04/20/2012","0.250","0.250","0.250","0.250","0.00%"
"04/19/2012","0.250","0.250","0.250","0.250","-34.21%"
"04/18/2012","0.380","0.380","0.380","0.380","52.00%"
"04/17/2012","0.250","0.250","0.250","0.250","0.00%"
"04/16/2012","0.250","0.250","0.250","0.250","0.00%"
"04/15/2012","0.250","0.250","0.250","0.250","0.00%"
"04/14/2012","0.250","0.250","0.250","0.250","0.00%"
"04/13/2012","0.250","0.250","0.250","0.250","0.00%"
"04/12/2012","0.250","0.250","0.250","0.250","-35.90%"
"04/11/2012","0.390","0.390","0.390","0.390","8.33%"
"04/10/2012","0.360","0.360","0.360","0.360","44.00%"
"04/08/2012","0.250","0.250","0.250","0.250","0.00%"
"04/07/2012","0.250","0.250","0.250","0.250","0.00%"
"04/05/2012","0.250","0.250","0.250","0.250","0.00%"
"04/04/2012","0.250","0.250","0.250","0.250","0.00%"
"04/03/2012","0.250","0.250","0.250","0.250","0.00%"
"04/02/2012","0.250","0.250","0.250","0.250","4.17%"
"04/01/2012","0.240","0.250","0.250","0.240","-4.00%"
"03/31/2012","0.250","0.250","0.250","0.250","0.00%"
"03/30/2012","0.250","0.250","0.250","0.250","0.00%"
"03/29/2012","0.250","0.250","0.250","0.250","0.00%"
"03/28/2012","0.250","0.250","0.250","0.250","0.00%"
"03/27/2012","0.250","0.250","0.250","0.250","8.70%"
"03/26/2012","0.230","0.230","0.230","0.230","-4.17%"
"03/25/2012","0.240","0.250","0.250","0.240","-4.00%"
"03/24/2012","0.250","0.250","0.250","0.250","0.00%"
"03/23/2012","0.250","0.250","0.250","0.250","-21.87%"
"03/22/2012","0.320","0.320","0.320","0.320","28.00%"
"03/21/2012","0.250","0.250","0.250","0.250","0.00%"
"03/20/2012","0.250","0.250","0.250","0.250","0.00%"
"03/19/2012","0.250","0.250","0.250","0.250","0.00%"
"03/18/2012","0.250","0.250","0.250","0.250","0.00%"
"03/17/2012","0.250","0.250","0.250","0.250","-16.67%"
"03/16/2012","0.300","0.300","0.300","0.300","20.00%"
"03/15/2012","0.250","0.250","0.250","0.250","0.00%"
"03/14/2012","0.250","0.250","0.250","0.250","0.00%"
"03/13/2012","0.250","0.250","0.250","0.250","0.00%"
"03/12/2012","0.250","0.250","0.250","0.250","4.17%"
"03/11/2012","0.240","0.250","0.250","0.240","-4.00%"
"03/10/2012","0.250","0.250","0.250","0.250","0.00%"
"03/09/2012","0.250","0.250","0.250","0.250","0.00%"
"03/08/2012","0.250","0.250","0.250","0.250","0.00%"
"03/07/2012","0.250","0.250","0.250","0.250","0.00%"
"03/06/2012","0.250","0.250","0.250","0.250","66.67%"
"03/05/2012","0.150","0.150","0.150","0.150","-40.00%"
"03/04/2012","0.250","0.250","0.250","0.250","0.00%"
"03/03/2012","0.250","0.250","0.250","0.250","0.00%"
"03/02/2012","0.250","0.250","0.250","0.250","0.00%"
"03/01/2012","0.250","0.250","0.250","0.250","66.67%"
"02/29/2012","0.150","0.150","0.150","0.150","-40.00%"
"02/28/2012","0.250","0.250","0.250","0.250","0.00%"
"02/27/2012","0.250","0.250","0.250","0.250","0.00%"
"02/26/2012","0.250","0.250","0.250","0.250","0.00%"
"02/25/2012","0.250","0.250","0.250","0.250","0.00%"
"02/24/2012","0.250","0.250","0.250","0.250","0.00%"
"02/23/2012","0.250","0.250","0.250","0.250","0.00%"
"02/22/2012","0.250","0.250","0.250","0.250","0.00%"
"02/21/2012","0.250","0.250","0.250","0.250","66.67%"
"02/20/2012","0.150","0.150","0.150","0.150","-37.50%"
"02/19/2012","0.240","0.250","0.250","0.240","-4.00%"
"02/18/2012","0.250","0.250","0.250","0.250","0.00%"
"02/17/2012","0.250","0.250","0.250","0.250","0.00%"
"02/16/2012","0.250","0.250","0.250","0.250","0.00%"
"02/15/2012","0.250","0.250","0.250","0.250","0.00%"
"02/14/2012","0.250","0.250","0.250","0.250","0.00%"
"02/13/2012","0.250","0.250","0.250","0.250","4.17%"
"02/12/2012","0.240","0.240","0.250","0.150","0.00%"
"02/11/2012","0.240","0.150","0.240","0.150","-4.00%"
"02/10/2012","0.250","0.250","0.250","0.250","0.00%"
"02/09/2012","0.250","0.250","0.250","0.250","0.00%"
"02/08/2012","0.250","0.250","0.250","0.250","0.00%"
"02/07/2012","0.250","0.250","0.250","0.250","0.00%"
"02/06/2012","0.250","0.250","0.250","0.250","0.00%"
"02/03/2012","0.250","0.250","0.250","0.250","-7.41%"
"02/02/2012","0.270","0.270","0.270","0.270","8.00%"
"02/01/2012","0.250","0.250","0.250","0.250","0.00%"
"01/31/2012","0.250","0.250","0.250","0.250","-3.85%"
"01/30/2012","0.260","0.260","0.260","0.260","4.00%"
"01/27/2012","0.250","0.250","0.250","0.250","0.00%"
"01/26/2012","0.250","0.250","0.250","0.250","0.00%"
"01/25/2012","0.250","0.250","0.250","0.250","0.00%"
"01/24/2012","0.250","0.250","0.250","0.250","0.00%"
"01/23/2012","0.250","0.250","0.250","0.250","0.00%"
"01/20/2012","0.250","0.250","0.250","0.250","0.00%"
"01/19/2012","0.250","0.250","0.250","0.250","0.00%"
"01/18/2012","0.250","0.250","0.250","0.250","0.00%"
"01/17/2012","0.250","0.250","0.250","0.250","0.00%"
"01/16/2012","0.250","0.250","0.250","0.250","0.00%"
"01/13/2012","0.250","0.250","0.250","0.250","0.00%"
"01/12/2012","0.250","0.250","0.250","0.250","0.00%"
"01/11/2012","0.250","0.250","0.250","0.250","0.00%"
"01/10/2012","0.250","0.250","0.250","0.250","0.00%"
"01/09/2012","0.250","0.250","0.250","0.250","0.00%"
"01/06/2012","0.250","0.250","0.250","0.250","0.00%"
"01/05/2012","0.250","0.250","0.250","0.250","25.00%"
"01/04/2012","0.200","0.200","0.200","0.200","-83.05%"
"01/03/2012","1.180","1.180","1.180","1.180","-4.84%"
"12/30/2011","1.240","1.240","1.240","1.240","5.08%"
"12/29/2011","1.180","1.180","1.180","1.180","2.61%"
"12/28/2011","1.150","1.150","1.150","1.150","360.00%"
"12/27/2011","0.250","0.250","0.250","0.250","0.00%"
"12/23/2011","0.250","0.250","0.250","0.250","0.00%"
"12/22/2011","0.250","0.250","0.250","0.250","0.00%"
"12/21/2011","0.250","0.250","0.250","0.250","0.00%"
"12/20/2011","0.250","0.250","0.250","0.250","0.00%"
"12/19/2011","0.250","0.250","0.250","0.250","0.00%"
"12/16/2011","0.250","0.250","0.250","0.250","0.00%"
"12/15/2011","0.250","0.250","0.250","0.250","0.00%"
"12/14/2011","0.250","0.250","0.250","0.250","0.00%"
"12/13/2011","0.250","0.250","0.250","0.250","2,400.00%"
"12/12/2011","0.010","0.010","0.010","0.010","-97.50%"
"12/09/2011","0.400","0.400","0.400","0.400","-4.76%"
"12/08/2011","0.420","0.420","0.420","0.420","68.00%"
"12/07/2011","0.250","0.250","0.250","0.250","0.00%"
"12/06/2011","0.250","0.250","0.250","0.250","0.00%"
"12/05/2011","0.250","0.250","0.250","0.250","0.00%"
"12/02/2011","0.250","0.250","0.250","0.250","0.00%"
"12/01/2011","0.250","0.250","0.250","0.250","-19.35%"
"11/30/2011","0.310","0.310","0.310","0.310","0.00%"
"11/29/2011","0.310","0.310","0.310","0.310","0.00%"
"11/28/2011","0.310","0.310","0.310","0.310","0.00%"
"11/25/2011","0.310","0.310","0.310","0.310","0.00%"
"11/24/2011","0.310","0.310","0.310","0.310","0.00%"
"11/23/2011","0.310","0.310","0.310","0.310","0.00%"
