Date,SARON,SOFR,LogDifferenceCHFUSD
2018-04-03,-0.737314,1.83,-0.003342388739380288
2018-04-04,-0.730435,1.74,-0.0005212405643163845
2018-04-05,-0.741581,1.75,-0.003952574315823534
2018-04-06,-0.738002,1.75,0.003223293666738049
2018-04-07,-0.7362953333333334,1.75,0.0009724924356323966
2018-04-08,-0.7345886666666667,1.75,0.0009734390978664853
2018-04-09,-0.732882,1.75,0.000974387604932403
2018-04-10,-0.736171,1.75,0.0
2018-04-11,-0.7352,1.76,-0.00041771095010015996
2018-04-12,-0.737345,1.73,-0.004895078253430475
2018-04-13,-0.735738,1.72,-0.0006231824048792689
2018-04-14,-0.7362586666666666,1.7366666666666666,0.0012121003717730852
2018-04-15,-0.7367793333333333,1.7533333333333334,0.001213571342228173
2018-04-16,-0.7373,1.77,0.0012150458872779643
2018-04-17,-0.736385,1.76,-0.007268228445444322
2018-04-18,-0.730292,1.75,-0.0004137360423105349
2018-04-19,-0.735612,1.73,-0.004539834458350128
2018-04-20,-0.732614,1.72,-0.0030835670439881974
2018-04-21,-0.7343256666666667,1.7133333333333334,-0.0010940920128590763
2018-04-22,-0.7360373333333333,1.7066666666666666,-0.0010928962836449715
2018-04-23,-0.737749,1.7,-0.0010917031651942188
2018-04-24,-0.739449,1.71,-0.0028600632366266796
2018-04-25,-0.742764,1.71,-0.002444988993066482
2018-04-26,-0.740471,1.72,-0.005277057100843774
2018-04-27,-0.736253,1.72,-0.00040477636658703756
2018-04-28,-0.734104,1.7366666666666666,-0.0009101482147219116
2018-04-29,-0.731955,1.7533333333333334,-0.0009093205981458557
2018-04-30,-0.729806,1.77,-0.0009084944853400348
2018-05-01,-0.7320875,1.76,-0.004329229011791002
2018-05-02,-0.734369,1.75,-0.002107482339564924
2018-05-03,-0.733814,1.74,-0.000300706662918533
2018-05-04,-0.73162,1.72,-0.002702298596850984
2018-05-05,-0.7320216666666667,1.7166666666666666,-0.0005995204016497973
2018-05-06,-0.7324233333333333,1.7133333333333334,-0.0005991611922806302
2018-05-07,-0.732825,1.71,-0.0005988024131020114
2018-05-08,-0.736958,1.72,0.0006986376849863773
2018-05-09,-0.733262,1.72,-0.0025924832547709986
2018-05-10,-0.7325809999999999,1.73,0.0005976691083379019
2018-05-11,-0.7319,1.73,0.003993615531469871
2018-05-12,-0.732221,1.7366666666666666,0.0006671559390830468
2018-05-13,-0.732542,1.7433333333333334,0.0006676013332938908
2018-05-14,-0.732863,1.75,0.0006680473225937076
2018-05-15,-0.733585,1.79,-0.002202864613643293
2018-05-16,-0.73046,1.75,-0.0005999400239939693
2018-05-17,-0.731274,1.74,-0.0009991008923804867
2018-05-18,-0.734092,1.73,0.004403529934006155
2018-05-19,-0.7330485,1.7166666666666666,-0.000267433310412497
2018-05-20,-0.732005,1.7033333333333334,-0.0002673618089585332
2018-05-21,-0.7309614999999999,1.69,-0.00026729034572775014
2018-05-22,-0.729918,1.65,0.00542660360929129
2018-05-23,-0.7294,1.67,-0.0028174701672691142
2018-05-24,-0.73123,1.74,0.003623921823879472
2018-05-25,-0.734058,1.73,0.00040346984610286317
2018-05-26,-0.7326823333333333,1.7275,-0.00030261764491798515
2018-05-27,-0.7313066666666667,1.725,-0.00030252609518302727
2018-05-28,-0.729931,1.7225,-0.00030243460082309166
2018-05-29,-0.733745,1.72,-0.0003023431617891169
2018-05-30,-0.732426,1.72,0.0034319201949337443
2018-05-31,-0.728226,1.81,0.004662013105811236
2018-06-01,-0.732519,1.81,-0.00233372334622026
2018-06-02,-0.732715,1.8066666666666666,-0.000574140072172092
2018-06-03,-0.732911,1.8033333333333335,-0.00057381062449007
2018-06-04,-0.733107,1.8,-0.0005734815546715871
2018-06-05,-0.73034,1.75,0.002431119511819473
2018-06-06,-0.730888,1.73,0.0016240360857345364
2018-06-07,-0.73173,1.71,0.0022373649117567278
2018-06-08,-0.73216,1.69,-0.003861400997491264
2018-06-09,-0.7318486666666667,1.69,0.00040576182337995377
2018-06-10,-0.7315373333333334,1.69,0.0004059265328726514
2018-06-11,-0.731226,1.69,0.0004060913761389593
2018-06-12,-0.729587,1.67,0.0007110569653040275
2018-06-13,-0.730912,1.71,-0.00030480061196105565
2018-06-14,-0.732682,1.9,-0.00990607514367138
2018-06-15,-0.730651,1.91,-0.002009646978610722
2018-06-16,-0.731291,1.9066666666666665,0.00033466082438095247
2018-06-17,-0.731931,1.9033333333333333,0.00033477285974355467
2018-06-18,-0.732571,1.9,0.00033488497014349996
2018-06-19,-0.731713,1.88,0.00010048736379852669
2018-06-20,-0.73252,1.87,-0.0005023358723205522
2018-06-21,-0.729056,1.87,0.0035216618375802566
2018-06-22,-0.731766,1.92,0.0019169657285340869
2018-06-23,-0.7328463333333334,1.9166666666666665,0.000943015023406225
2018-06-24,-0.7339266666666666,1.9133333333333333,0.0009439051402002716
2018-06-25,-0.735007,1.91,0.0009447969389534804
2018-06-26,-0.732633,1.9,-0.0027307223037063184
2018-06-27,-0.733145,1.9,-0.006142092510713983
2018-06-28,-0.733042,1.93,-0.0017050302510838292
2018-06-29,-0.730086,2.12,0.00572837102331833
2018-06-30,-0.730651,2.0933333333333333,-0.0008059641782241726
2018-07-01,-0.731216,2.066666666666667,-0.0008053151230475175
2018-07-02,-0.731781,2.04,-0.0008046671124179814
2018-07-03,-0.73213,2.0,0.0024159464136896715
2018-07-04,-0.729291,1.9849999999999999,-0.000100781053247425
2018-07-05,-0.73377,1.97,-0.00010077089744995466
2018-07-06,-0.733075,1.93,0.0023203036891768624
